EVERYTHING,,,,Pre-1900,1920s,1930s,1940s,1950s,1970s,1980s,1990s,2000s,2010,2011,2012,2013,2014,2015,2016,QUICK NAVIGATION & LEGEND,,,,"TIMELINE
PLACEMENT
LINKS",REALITY DESIGNATION
,Agent Carter,,,,2.04,Smoke & Mirrors,,,,0:19:41,,0:21:30,,"Flashback: ""BROXTON, OKLAHOMA - 1928"", Teen Agnes Cully studying science in the kitchen up to her mother saying ""If you were half as smart as you think you are, you would fix on this! This is the only thing that's going to get you anywhere in this world.""",,,,,,,,,,1928,
,,,,,,,,,,,,,,,,,,,,,,,,,
,1930s,,,,,,,,,Clips,,Movies,,Shows,,Episodes,,Approx. Runtime,,,,,,,
,,,,,,,,,,11,,1,,3,,6,,1:32:31,,,,,,,
,Agents of S.H.I.E.L.D.,,,,6.13,New Life,,,,0:38:13,,0:39:42,,"NOTE 1: This is the beginning of the Agents of S.H.I.E.L.D. 1930s ""Altered History Timeline."" It is detailed here.",,,,,,,,,,1931,EARTH-TRN810
,,,,,,,,,,,,,,NOTE 2: This reality has been given the unofficial designation Earth-TRN810 by the Marvel Database.,,,,,,,,,,,
,,,,,,,,,,,,,,"Daisy looking around, Mack asking ""You want to share exactly where Fitz sent us?"" up to Jemma saying ""Like I said, we had time."" and the Zephyr flying near the still under construction Empire State Building.",,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,7.01,The New Deal,,,,0:00:07,,0:02:16,,Up to the Chronicoms killing a man for seeing them before they had all disguised themselves,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,6.13,New Life,,,,0:39:48,,0:42:22,,"NOTE: The editing of the scene at the end of 6.13 and the editing of the same scene at the beginning of 7.01 are slightly different. E.g. In 6.13 reveal of Chronicom LMD Phil Coulson (referred to as ""Coulson"" from now on to match the wiki) is slow whereas in 7.01, along with a quicker version of the reveal shot in 6.13, the editing serves to recap the final scene of 6.13 and to include an establishing shot of the Zephyr.",,,,,,,,,,,
,,,,,,,,,,,,,,"Daisy coming to terms with having time traveled up to ""Coulson"" waking and saying ""Hey, guys.""",,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,7.01,The New Deal,,,,0:02:52,,0:41:37,,"NOTE: The start of this clip begins on the shot following the repeated ""Hey, guys"" shot.",,,,,,,,,,,
,,,,,,,,,,,,,,"Reaction shot of Daisy and Mack up to ""Coulson"" and Daisy realizing that in order to save S.H.I.E.L.D., they need to save HYDRA",,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,7.02,Know Your Onions,,,,0:01:07,,0:03:50,,Up to May waking from her dream in the Healing Pod,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Title at 0:03:14,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,7.01,The New Deal,,,,0:41:43,,0:42:23,,Enoch entering the Zephyr's medical bay and finding May missing,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,7.02,Know Your Onions,,,,0:03:50,,0:41:49,,"Ernest Koenig saying ""You guys aren't in the import/export business, are you?"" up to the end of the episode",,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: S.H.I.E.L.D. logo at 0:40:20,,,,,,,,,,,
,Runaways,,,,2.08,Past Life,,,,0:01:15,,0:03:07,,Flashback: The Magistrate preaching in a tent and curing a young boy,,,,,,,,,,1932,
,Agent Carter,,,,2.04,Smoke & Mirrors,,,,0:39:24,,0:41:35,,Flashback: Agnes Cully outside a theater in Hollywood ,,,,,,,,,,1934,
,Captain America: The Winter Soldier,,,,,,,,,1:32:24,,1:33:13,,Flashback: Steve Rogers returning home from his mother's funeral with Bucky Barnes,,,,,,,,,,1936,
,Agent Carter,,,,1.05,The Iron Ceiling,,,,0:00:48,,0:02:08,,Flashback: Up to a young Dottie Underwood snapping the neck of another girl during a combat training session,,,,,,,,,,1937,
,,,,,,,,,,,,,,,,,,,,,,,,,
,1940s,,,,,,,,,Clips,,Movies/Shorts,,Shows,,Episodes,,Approx. Runtime,,,,,,,
,,,,,,,,,,44,,3,,2,,18,,14:07:14,,,,,,,
,Agent Carter,,,,2.04,Smoke & Mirrors,,,,0:16:43,,0:18:33,,Flashback: Peggy Carter showing off her engagement ring at the office up to her receiving a recruitment letter from the S.O.E.,,,,,,,,,,1940,
,Agent Carter,,,,2.04,Smoke & Mirrors,,,,0:28:25,,0:31:04,,"Flashback: Peggy Carter's engagement party, Peggy proposing a toast up to her brother Michael calling after her",,,,,,,,,,,
,Agent Carter,,,,2.04,Smoke & Mirrors,,,,0:33:50,,0:35:48,,"Flashback: Peggy, with her mother, standing in front of a mirror in her wedding gown up to her leaving to join the S.O.E.",,,,,,,,,,,
,Captain America: The First Avenger,,,,,,,,,0:03:39,,0:08:11,,"""Tønsberg, Norway"", a young man running towards a church up to Johann Schmidt shooting the Church Keeper",,,,,,,,,,1942,
,Agent Carter,,,,1.07,Snafu,,,,0:01:17,,0:03:44,,Flashback: Up to the doctors beginning to amputate Pvt. Ovechkin's leg,,,,,,,,,,1943,
,Captain America: The First Avenger,,,,,,,,,0:08:11,,1:15:59,,Steve Rogers attempting to enlist up to Howard Stark examining the mini Tesseract fuel source and being blasted across the room,,,,,,,,,,,
,Agent Carter,,,,1.06,A Sin to Err,,,,0:01:17,,0:02:32,,"Flashback: Dr. Fennhoff, captured by Leviathan, being forcefully recruited",,,,,,,,,,1944,
,,,,,,,,,,,,,,NOTE: Dr. Fennhoff's dialogue comes in early at 0:02:32.,,,,,,,,,,,
,Captain America: The First Avenger,,,,,,,,,1:15:59,,1:48:41,,Pvt. Lorraine reading a newspaper and Steve asking her where Stark is up to Steve crashing into the ice,,,,,,,,,,1945,
,Agents of S.H.I.E.L.D.,,,,2.08,The Things We Bury,,,,0:00:43,,0:02:52,,Flashback: Up to Werner Reinhardt being informed of Red Skull's death and the approach of Allied forces,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,2.01,Shadows,,,,0:01:02,,0:03:44,,"Flashback: Up to Peggy taking a photograph of ""S.S.R. ITEM #084""",,,,,,,,,,,
,Captain America: The First Avenger,,,,,,,,,1:48:41,,1:50:22,,VE-Day celebration up to kids playing as Captain America and the Howling Commandos,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,2.08,The Things We Bury,,,,0:12:28,,0:14:10,,"Flashback: Peggy interviewing Reinhardt in ""The Rat""",,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,2.08,The Things We Bury,,,,0:20:32,,0:21:49,,Flashback: Peggy meeting with Reinhardt and telling him that he will be put away and forgotten up to Reinhardt sitting at the desk in his cell,,,,,,,,,,,
,,,,,,,,,,,,,,"NOTE: After Reinhardt is placed in his cell a montage begins showing the passage of time of Reinhardt's incarceration, covering many years. This clip ends during the pan up to Reinhardt looking out his cell window as an old man.",,,,,,,,,,,
,Agent Carter,,,,1.08,Valediction,,,,0:18:21,,0:18:51,,"Flashback: Howard Stark showing off his plane collection to his date, ""Ida Emke"" (Dottie Underwood)",,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Dottie's dialogue begins at 0:18:19.,,,,,,,,,,,
,One-Shot: Agent Carter,,,,,,,,,0:00:56,,0:12:05,,"NOTE: The Agent Carter One-Shot takes place prior to the show because during the montage of Peggy getting ready for work at the beginning of 1.01 there is a brief flashback from the One-Shot of her kicking a guy through the warehouse window (0:01:32). Stark's plans for starting S.H.I.E.L.D. must have been delayed resulting in Peggy returning to work for the SSR, or the show retcons that aspect of the One-Shot. Some differences between the two include: Peggy's colleagues being different and missions being conducted differently. Peggy's treatment by her colleagues is unchanged from the One-Shot at the beginning of the show. It would be expected for Peggy's treatment to be better if the One-Shot took place after the show.",,,,,,,,,,1946,
,,,,,,,,,,,,,,"View of New York, ""ONE YEAR LATER"" up to Peggy leaving to join S.H.I.E.L.D.",,,,,,,,,,,
,One-Shot: Agent Carter,,,,,,,,,0:13:19,,0:13:45,,Mid-credits scene: Stark and Dum Dum Dugan by the pool,,,,,,,,,,,
,Agent Carter,,,,1.01,Now Is Not the End,,,,0:00:39,,0:21:24,,Peggy looking out her apartment window up to Edwin Jarvis hanging up on Peggy after telling her how to disarm the nitramene bomb,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Title at 0:02:37,,,,,,,,,,,
,Agent Carter,,,,2.08,Edge of Mystery,,,,0:01:32,,0:02:38,,NOTE: There is some overlap with the previous clip as Ana Jarvis arrives home (0:01:10) and overhears part of Jarvis' phone call with Peggy.,,,,,,,,,,,
,,,,,,,,,,,,,,Flashback: Ana in the kitchen up to her telling Jarvis not to keep promises he can't keep,,,,,,,,,,,
,Agent Carter,,,,1.01,Now Is Not the End,,,,0:21:24,,0:41:54,,Jack Thompson arriving at La Martinique up to the end of the episode,,,,,,,,,,,
,Agent Carter,,,,1.02,Bridge and Tunnel,,,,0:00:48,,0:40:46,,Full episode,,,,,,,,,,,
,Agent Carter,,,,1.03,Time and Tide,,,,0:01:16,,0:40:40,,Full episode,,,,,,,,,,,
,Agent Carter,,,,1.04,The Blitzkrieg Button,,,,0:01:18,,0:40:35,,Full episode,,,,,,,,,,,
,Agent Carter,,,,1.05,The Iron Ceiling,,,,0:02:08,,0:42:17,,NOTE: This episode contains a flashback.,,,,,,,,,,,
,,,,,,,,,,,,,,Dottie waking up up to the end of the episode,,,,,,,,,,,
,Agent Carter,,,,1.06,A Sin to Err,,,,0:02:33,,0:40:46,,NOTE 1: This episode contains a flashback.,,,,,,,,,,,
,,,,,,,,,,,,,,"Dr. Fennhoff saying ""That was when I learned monsters are real."" up to the end of the episode",,,,,,,,,,,
,,,,,,,,,,,,,,NOTE 2: Dr. Fennhoff's dialogue begins at 0:02:32.,,,,,,,,,,,
,Agent Carter,,,,1.07,Snafu,,,,0:03:45,,0:40:28,,NOTE: This episode contains a flashback.,,,,,,,,,,,
,,,,,,,,,,,,,,Dr. Fennhoff and Chief Roger Dooley watching Sousa interogatting Peggy up to the end of the episode,,,,,,,,,,,
,Agent Carter,,,,1.08,Valediction,,,,0:01:04,,0:18:20,,NOTE 1: This episode contains a flashback.,,,,,,,,,,,
,,,,,,,,,,,,,,"Up to Jarvis saying ""Not all. There is another vault. Considerably larger than the first."" and Peggy looking at him",,,,,,,,,,,
,,,,,,,,,,,,,,NOTE 2: Dottie's dialogue comes in early at 0:18:19.,,,,,,,,,,,
,Agent Carter,,,,1.08,Valediction,,,,0:18:51,,0:42:15,,Dottie slapping Stark awake up to the end of the episode,,,,,,,,,,,
,Agent Carter,,,,2.01,The Lady in the Lake,,,,0:01:33,,0:41:35,,Full episode,,,,,,,,,,1947,
,,,,,,,,,,,,,,NOTE: Title at 0:04:17,,,,,,,,,,,
,Agent Carter,,,,2.02,A View in the Dark,,,,0:01:17,,0:42:09,,Full episode,,,,,,,,,,,
,Agent Carter,,,,2.03,Better Angels,,,,0:00:38,,0:42:19,,Full episode,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Title at 0:02:38,,,,,,,,,,,
,Agent Carter,,,,2.04,Smoke & Mirrors,,,,0:01:39,,0:06:32,,NOTE: This episode contains flashbacks.,,,,,,,,,,,
,,,,,,,,,,,,,,Peggy eating a sandwich up to Jarvis closing the trunk,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Title at 0:03:55,,,,,,,,,,,
,Agent Carter,,,,2.04,Smoke & Mirrors,,,,0:08:43,,0:16:43,,"Whitney Frost conducting ""Zero Matter Experiment #1"" up to Peggy moving to flick the syringe ",,,,,,,,,,,
,Agent Carter,,,,2.04,Smoke & Mirrors,,,,0:18:33,,0:19:41,,Peggy jabbing Rufus Hunt with the syringe up to Peggy and Daniel Sousa leaving to go upstairs,,,,,,,,,,,
,Agent Carter,,,,2.04,Smoke & Mirrors,,,,0:21:31,,0:28:25,,Empty mouse cage and Whitney's phone ringing up to Peggy looking through the office window at Sousa on the phone,,,,,,,,,,,
,Agent Carter,,,,2.04,Smoke & Mirrors,,,,0:31:04,,0:33:51,,Peggy beginning to descend stairs when Sousa calls out to her up to Peggy and co. listening in on Hunt and Jarvis going to get a bottle,,,,,,,,,,,
,Agent Carter,,,,2.04,Smoke & Mirrors,,,,0:35:48,,0:39:24,,Peggy pacing the lab up to Peggy and co. hearing Whitney absorb Hunt,,,,,,,,,,,
,Agent Carter,,,,2.04,Smoke & Mirrors,,,,0:41:35,,0:42:18,,Whitney looking at her hands up to the end of the episode,,,,,,,,,,,
,Agent Carter,,,,2.05,The Atomic Job,,,,0:01:02,,0:41:39,,Full episode,,,,,,,,,,,
,Agent Carter,,,,2.06,Life of the Party,,,,0:01:06,,0:42:20,,Full episode,,,,,,,,,,,
,Agent Carter,,,,2.07,Monsters,,,,0:01:03,,0:42:13,,Full episode,,,,,,,,,,,
,Agent Carter,,,,2.08,Edge of Mystery,,,,0:02:38,,0:42:11,,NOTE: This episode contains a flashback.,,,,,,,,,,,
,,,,,,,,,,,,,,"Jarvis trying to tune a radio, Peggy entering the room up to the end of the episode",,,,,,,,,,,
,Agent Carter,,,,2.09,A Little Song and Dance,,,,0:00:58,,0:41:20,,Full episode,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Title at 0:06:24,,,,,,,,,,,
,Agent Carter,,,,2.10,Hollywood Ending,,,,0:01:21,,0:40:36,,NOTE: This episode begins by showing concurrent events from Peggy and co.'s perspective covering the last minute of the previous episode.,,,,,,,,,,,
,,,,,,,,,,,,,,Full episode,,,,,,,,,,,
,,,,,,,,,,,,,,"NOTE: A second Agent Carter title occurs at 0:39:38 that ""Oh, But I Do"" by Margaret Whiting plays over. The lyrics start at 0:39:27. After the second title the song transitions to being diegetic music in the scene.",,,,,,,,,,,
,Avengers: Endgame,,,,,,,,,2:48:00,,2:48:55,,NOTE: This reality has been given the unofficial designation Earth-TRN736 by the Marvel Database.,,,,,,,,,,1949,EARTH-TRN736
,,,,,,,,,,,,,,Steve Rogers dancing with Peggy Carter,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,1950s,,,,,,,,,Clips,,Movies,,Shows,,Episodes,,Approx. Runtime,,,,,,,
,,,,,,,,,,7,,0,,2,,3,,1:20:26,,,,,,,
,Agents of S.H.I.E.L.D.,,,,7.03,Alien Commies from the Future,,,,0:00:49,,0:41:21,,"NOTE 1: This is the beginning of the Agents of S.H.I.E.L.D. 1950s ""Altered History Timeline."" It is detailed here.",,,,,,,,,,1955,EARTH-TRN810
,,,,,,,,,,,,,,NOTE 2: This reality has been given the unofficial designation Earth-TRN810 by the Marvel Database.,,,,,,,,,,,
,,,,,,,,,,,,,,Full episode,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Title at 0:03:37 and S.H.I.E.L.D. logo at 0:39:51,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,7.04,Out of the Past,,,,0:01:49,,0:35:47,,"""Coulson"" in an interrogation room up to Sousa rounding a corner and saying ""I thought I shook you.""",,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,7.04,Out of the Past,,,,0:36:36,,0:37:32,,"""Coulson"" pointing a gun at Sousa up to Joe looking at ""Coulson"" in the pool and leaving",,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,7.04,Out of the Past,,,,0:36:02,,0:36:30,,"Joe calling Wilfred Malick to report in up to ""Coulson"" opening his eyes while still in the pool",,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,7.04,Out of the Past,,,,0:37:32,,0:39:11,,Daisy and Jemma arriving at the pool in disguise up to the team time traveling,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,7.04,Out of the Past,,,,0:41:23,,0:42:17,,Luke visiting Malick,,,,,,,,,,,
,Runaways,,,,2.08,Past Life,,,,0:03:07,,0:05:06,,Flashback: Dr. Jonah approaching the Magistrate in a hospital up to the Magistrate taking over his body,,,,,,,,,,1957,
,,,,,,,,,,,,,,,,,,,,,,,,,
,1970s,,,,,,,,,Clips,,Movies,,Shows,,Episodes,,Approx. Runtime,,,,,,,
,,,,,,,,,,17,,1,,4,,7,,1:47:52,,,,,,,
,Agents of S.H.I.E.L.D.,,,,3.16,Paradise Lost,,,,0:00:46,,0:01:56,,Flashback: Up to Gideon and Nathaniel Malick entering a car,,,,,,,,,,1970,
,Agents of S.H.I.E.L.D.,,,,3.16,Paradise Lost,,,,0:07:24,,0:09:15,,Flashback: The Malick brothers approaching Daniel Whitehall in his cell up to them leaving,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Stephanie Malick's dialogue comes in early at 0:09:14.,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,3.16,Paradise Lost,,,,0:17:07,,0:18:53,,Flashback: Gideon joining Nathaniel in their father's study up to Gideon tossing a stone in a pond and the two shaking hands,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,3.16,Paradise Lost,,,,0:33:05,,0:33:20,,"Flashback: Stone ceremony, Gideon choosing his stone and passing the bag to Nathaniel",,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,3.16,Paradise Lost,,,,0:33:28,,0:33:52,,Flashback: Nathaniel drawing the white stone and being led away,,,,,,,,,,,
,Avengers: Endgame,,,,,,,,,1:38:50,,1:46:32,,"NOTE 1: The Avengers: Endgame 1970s ""Time Heist Timeline"" is detailed here.",,,,,,,,,,,EARTH-TRN735
,,,,,,,,,,,,,,"NOTE 2: Additional information on the ""Time Heist"" chronology can be found here.",,,,,,,,,,,
,,,,,,,,,,,,,,NOTE 3: This reality has been given the unofficial designation Earth-TRN735 by the Marvel Database.,,,,,,,,,,,
,,,,,,,,,,,,,,Tony Stark and Steve stealing the Tesseract,,,,,,,,,,,
,Loki,,,,S01E01,Glorious Purpose,,,,0:26:50,,0:27:33,,"Flashback: A flight stewardess walking down the aisle of a plane up to Loki looking out the window, turning his head and smiling",,,,,,,,,,1971,
,,,,,,,,,,,,,,NOTE: Loki's dialogue comes in early at 0:27:33.,,,,,,,,,,,
,Loki,,,,S01E01,Glorious Purpose,,,,0:27:38,,0:28:13,,Flashback: The stewardess arriving with a bag full of money up to Loki being caught by the Bifrost,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,7.04,Out of the Past,,,,0:39:12,,0:41:17,,"NOTE 1: This is the beginning of the Agents of S.H.I.E.L.D. 1970s ""Altered History Timeline."" It is detailed here.",,,,,,,,,,1973,EARTH-TRN810
,,,,,,,,,,,,,,NOTE 2: This reality has been given the unofficial designation Earth-TRN810 by the Marvel Database.,,,,,,,,,,,
,,,,,,,,,,,,,,"Sousa waking up in the medical bay following the time travel jump up to the team hearing ""No More Mr. Nice Guy"" by Alice Cooper on the radio",,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,7.05,A Trout in the Milk,,,,0:01:36,,0:24:16,,Up to the Chronicoms forcing the team to time travel early with them,,,,,,,,,,,
,Daredevil,,,,1.08,Shadows in the Glass,,,,0:11:26,,0:14:39,,"Flashback: Shots of a NYC neighborhood, Wilson Fisk helping his father make campaign signs",,,,,,,,,,,
,Daredevil,,,,1.08,Shadows in the Glass,,,,0:26:15,,0:29:34,,Flashback: Fisk's mother bringing him cake up to Fisk's father forcing him to beat up the kid who was knocking down his campaign signs,,,,,,,,,,,
,Daredevil,,,,1.08,Shadows in the Glass,,,,0:35:16,,0:36:32,,Flashback: Fisk's father punishing him by having him sit in front of a wall up to Fisk's father beating his mother,,,,,,,,,,,
,Daredevil,,,,1.08,Shadows in the Glass,,,,0:38:35,,0:41:05,,Flashback: Fisk's father continuing to beat his mother up to Fisk killing his father and his mother preparing to dispose of the body,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,7.05,A Trout in the Milk,,,,0:24:17,,0:40:50,,The team arriving from their time jump up to the end of the episode,,,,,,,,,,1976,EARTH-TRN810
,,,,,,,,,,,,,,NOTE: S.H.I.E.L.D. logo at 0:40:01,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,7.06,Adapt or Die,,,,0:00:43,,0:40:34,,Up to the team time traveling,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Title at 0:02:18,,,,,,,,,,,
